Law,Permittee,Mine_Name,Permit_ID,MSHA_ID,State_Mine,National_I,CoalBed3,Map_Date,IU_Status,Area_Calc,Area_Rep,Area_RM,Pmt_App_Nu,Pmt_App_Da,Pmt_App__1,Edit_Date,Comment,Re_Permit,Source_Doc,Inspector,Shape_Leng,Shape_Area,CMO_Status,CoalBed1,CoalBed2,Surf_Metho,Post_SMCRA,Pmt_App_Ty
"2",OHIO RIVER COLLIERIES CO,,B-0732,,,OH-B-732,,,,109.75304581000,110.20000000000,0.00000000000,,1975-08-04,,,"-",,B-732.TIF,,14076.56353000000,4810019.35197999980,Abandoned,,,,No,
"2",BECKCO CONSTRUCTION CO,,B-0737,,,OH-B-737,,,,48.04327388000,48.10000000000,0.00000000000,,1974-11-29,,,"-",,B-737-1.TIF,,8378.66315397000,2060877.51591999992,Abandoned,,,,No,
"2",CRAVAT COAL CO,,B-744,,,OH-B-744,,,,33.64930500000,33.20000000000,0.00000000000,,1975-07-01,,,"-",,B-744.TIF,,6275.56402943000,1458245.96387999994,Abandoned,,,,No,
"2",STAR MINING CO,,B-0746,,,OH-B-746,,,,24.25373458000,23.80000000000,0.00000000000,,1975-11-10,,,"-",,B-746.TIF,,6866.84560656000,1129285.62394999992,Abandoned,,,,No,
"2",KING QUARRIES,,B-0749,,,OH-B-749,,,,52.19732501000,53.20000000000,0.00000000000,,1975-08-28,,,"-",,B-749.TIF,,7930.17992469000,2320922.01456000004,Abandoned,,,,No,
"2",HOLMES LIMESTONE CO,,B-0753,,,OH-B-753,,,,47.11672059000,46.50000000000,0.00000000000,,1975-09-29,,,"-",,B-753.TIF,,6708.80209374000,1977501.18054999993,Abandoned,,,,No,
"2",HOLMES LIMESTONE CO,,B-0754,,,OH-B-754,,,,28.83174387000,29.20000000000,0.00000000000,,1975-09-29,,,"-",,B-754.TIF,,5138.29431238000,1428425.08924999996,Abandoned,,,,No,
"2",COLEMAN COAL SALES,,B-0755,,,OH-B-755,,,,16.39124964000,16.80000000000,0.00000000000,,1976-01-30,,,"-",,B-755.TIF,,3966.54410844000,729004.54088099999,Abandoned,,,,No,
"2",ORANGE COAL CO,,B-0757,,,OH-B-757,,,,69.78332230000,0.00000000000,0.00000000000,,1975-10-16,,,"-",,B-757.TIF,,9225.87788114000,2986757.30548000010,Abandoned,,,,No,
"2",HOLMES LIMESTONE CO,,B-759,,,OH-B-759,,,,32.22501583000,30.70000000000,0.00000000000,,1975-11-17,,,"-",,B-759.TIF,,12970.11818750000,1332532.39287000010,Abandoned,,,,No,
"2",UPLAND CONTRACTING CO INC,,B-0762,,,OH-B-762,,,,21.69661430000,0.00000000000,0.00000000000,,1975-10-24,,,"-",,B-762.TIF,,9080.52105486000,967839.92146600003,Abandoned,,,,No,
"2",FERRIS COAL CO,,B-0772,,,OH-B-772,,,,10.37952358000,10.60000000000,0.00000000000,,1976-10-15,,,"-",,B-772.TIF,,3184.50612713000,467327.60038600001,Abandoned,,,,No,
"2",EBERHART COAL CO,,B-0774,,,OH-B-774,,,,5.68014156000,6.40000000000,0.00000000000,,1974-10-07,,,"-",,B-774.TIF,,2501.10748680000,252745.68193600001,Abandoned,,,,No,
"2",KING QUARRIES,,B-778,,,OH-B-778,,,,34.54895414000,36.00000000000,0.00000000000,,1976-03-31,,,"-",,B-778.TIF,,11077.10292410000,1493447.99368000007,Abandoned,,,,No,
"1",GREEGOR & SONS,,A-0778,,,OH-A-0778,,,,11.34064961000,15.33000000000,0.00000000000,,1971-07-28,,,"-",,A-778.TIF,,6995.64490326000,674036.33066700003,Abandoned,,,,No,
"3",BLUE STAR MINING CO,,C-0213,,,OH-C-213,,,,42.44948709000,42.80000000000,0.00000000000,,1977-12-21,,,"-",,C-213.TIF,,5600.88161602000,1859698.71354999999,Inactive,,,,Yes,
"3",BEDWAY COAL CO,,C-0214,,,OH-C-214,,,,37.99258167000,0.00000000000,0.00000000000,,1978-12-11,,,"-",,C-214.TIF,,5293.06053292000,1654957.12339000008,Inactive,,,,Yes,
"3",LEAR STANDARD COAL CO,,C-0215,,,OH-C-215,,,,7.18592695000,7.50000000000,0.00000000000,,1977-06-22,,,"-",,C-215.TIF,,7036.22116225000,334167.29388800001,Inactive,,,,Yes,
"3",BENEDICT INC,,C-0216,,,OH-C-216,,,,62.38167213000,62.70000000000,0.00000000000,,1977-05-13,,,"-",,C-216.TIF,,8522.52298442000,2789631.58362999978,Inactive,,,,Yes,
"3",MCFO CO,,C-0218,,,OH-C-218,,,,100.08555531000,101.20000000000,0.00000000000,,1978-08-14,,,"-",,C-218.TIF,,24446.10432410000,4460892.19960999954,Inactive,,,,Yes,
"3",WEIRTON CONSTRUCTION CO,,C-0219,,,OH-C-219,,,,154.80953489000,160.30000000000,0.00000000000,,1979-12-06,,,C-1105,,C-219.TIF,,16479.69885530000,6901020.41576999985,Inactive,,,,Yes,
"3",HARBLE RIDGE COAL CO INC,,C-0220,,,OH-C-220,,,,0.12781225000,0.00000000000,0.00000000000,,1977-12-27,,,"-",,C-220.TIF,,6509.27518042000,1150838.98231000011,Inactive,,,,Yes,
"3",C A B COAL CORP,,C-0221,,,OH-C-221,,,,26.82186631000,0.00000000000,0.00000000000,,1977-01-13,,,"-",,C-221.TIF,,4573.15325149000,1185497.07746000006,Inactive,,,,Yes,
"3",PHILLIP SKINNER INC,,C-0222,,,OH-C-222,,,,7.10045306000,7.50000000000,0.00000000000,,1977-10-26,,,B-1000,,C-222.TIF,,5736.16737764000,324062.21959300002,Inactive,,,,Yes,
"3",KEY COAL CO,,C-0225,,,OH-C-225,,,,89.70180513000,90.70000000000,0.00000000000,,1979-02-01,,,"-",,C-225.TIF,,10526.48208940000,3907410.65387000004,Inactive,,,,Yes,
"3",WALTON COAL CO,,C-0223,,,OH-C-223,,,,53.67907374000,54.60000000000,0.00000000000,,1978-03-17,,,"-",,C-223.TIF,,16525.15004010000,2393259.33497000020,Inactive,,,,Yes,
"3",MARIETTA COAL CO,,C-0224,,,OH-C-224,,,,51.02039782000,51.20000000000,0.00000000000,,1978-09-11,,,"-",,C-224.TIF,,13949.81335910000,2217708.23120999988,Inactive,,,,Yes,
"3",R & F COAL CO,,C-0226,,,OH-C-226,,,,17.68912359000,17.50000000000,0.00000000000,,1977-08-04,,,"-",,C-226.TIF,,4121.31630532000,770538.21288899996,Inactive,,,,Yes,
"3",OHIO COAL & CONST CORP,,C-0227,,,OH-C-227,,,,36.96178793000,0.00000000000,0.00000000000,,1978-06-21,,,"-",,C-227.TIF,,6016.99888338000,1620096.65501000010,Inactive,,,,Yes,
"3",CRAVAT COAL CO,,C-0228,,,OH-C-228,,,,17.82423058000,0.00000000000,0.00000000000,,1977-06-07,,,"-",,C-228.TIF,,4933.06773664000,793479.14302700001,Inactive,,,,Yes,
"3",CRAVAT COAL CO,,C-0229,,,OH-C-229,,,,40.79070438000,42.70000000000,0.00000000000,,1977-08-23,,,"-",,C-229.TIF,,10286.11427040000,1806025.72637000005,Inactive,,,,Yes,
"3",LAMAY COAL CO INC,,C-0230,,,OH-C-230,,,,143.52372668000,146.20000000000,0.00000000000,,1979-12-07,,,"-",,C-230.TIF,,18163.72709760000,6423034.54755999986,Inactive,,,,Yes,
"3",MAHONING ENERGY CO,,C-0231,,,OH-C-231,,,,10.27407706000,10.20000000000,0.00000000000,,1978-07-11,,,"-",,C-231.TIF,,5874.28725655000,456599.57022100000,Inactive,,,,Yes,
"3",LOMINCO INC,,C-0232,,,OH-C-232,,,,11.10197185000,12.00000000000,0.00000000000,,1977-06-17,,,"-",,C-232.TIF,,4032.97845485000,474773.34165199997,Inactive,,,,Yes,
"3",OHIO RIVER COLLIERIES CO,,C-0233,,,OH-C-233,,,,37.38720641000,37.80000000000,0.00000000000,,1977-06-27,,,"-",,C-233.TIF,,5007.67969815000,1628586.92124000005,Inactive,,,,Yes,
"3",EMPIRE MINERALS CORP,,C-0234,,,OH-C-234,,,,10.43386195000,10.60000000000,0.00000000000,,1976-10-18,,,"-",,C-234.TIF,,4303.91092246000,461782.99624200002,Inactive,,,,Yes,
"3",JRC COAL CO INC,,C-0235,,,OH-C-235,,,,48.40449187000,46.80000000000,0.00000000000,,1979-05-09,,,"-",,C-235.TIF,,10209.13359660000,2108499.71892999997,Inactive,,,,Yes,
"3",BENNOC INC,,C-0236,,,OH-C-236,,,,50.64751323000,50.50000000000,0.00000000000,,1978-01-12,,,"-",,C-236.TIF,,9001.28006213000,2215755.67578000017,Inactive,,,,Yes,
"2",LARRY & GARY STERLING,,B-0722,,,OH-B-722,,,,4.52844691000,0.00000000000,0.00000000000,,1975-12-11,,,"-",,B-722.TIF,,1857.44121564000,197259.14753900000,Abandoned,,,,No,
"2",OHIO POWER CO,,B-0729,,,OH-B-729,,,,360.40558313000,0.00000000000,0.00000000000,,1975-08-22,,,"-",,B-729.TIF,,18542.46686780000,15630380.74699999951,Abandoned,,,,No,
"1",OHIO POWER CO,,A-0762,,,OH-A-0762,,,,206.85225280000,92.20000000000,0.00000000000,,1975-09-25,,,B-415 B-865,,A-762.TIF,,39305.67648780000,13242283.90279999934,Abandoned,,,,No,
"1",CROSS CREEK COAL CO,,A-0761,,,OH-A-0761,,,,22.74908206000,67.80000000000,0.00000000000,,1971-08-25,,,B-72,,A-761-1.TIF,,42161.43659420000,5156673.32110000029,Abandoned,,,,No,
"1",CROSS CREEK COAL CO,,A-0613,,,OH-A-0613,,,,2.90057668000,12.40000000000,0.00000000000,,1970-08-12,,,Southern Portions from map A-0761,,A-613-1.TIF,,61016.26166530000,5631730.94502000045,Abandoned,,,,No,
"1",ISAAC W SMITH CO,,A-0756,,,OH-A-0756,,,,4.47537976000,4.40000000000,0.00000000000,,1971-08-17,,,"-",,A-756-1.TIF,,18940.27066630000,1961277.77505000005,Abandoned,,,,No,
"1",HARDY COAL CO,,A-0753,,,OH-A-0753,,,,15.40965552000,26.60000000000,0.00000000000,,1971-07-29,,,"-",,A-753-1.TIF,,67237.73581340000,11483137.30810000002,Abandoned,,,,No,
"1",HOLMES LIMESTONE CO,,A-0752,,,OH-A-0752,,,,16.03386613000,19.00000000000,0.00000000000,,1971-08-03,,,"-",,A-752-1.TIF,,47723.73587270000,6291558.60211999994,Abandoned,,,,No,
"1",WOLFE COAL CO,,A-0741,,,OH-A-0741,,,,0.53889724000,0.50000000000,0.00000000000,,1971-04-30,,,"-",,A-741.TIF,,841.48056469500,25246.47776710000,Abandoned,,,,No,
"1",ALVIN A SCHLABACH,,A-0737,,,OH-A-0737,,,,4.13139803000,4.10000000000,0.00000000000,,1971-09-14,,,"-",,A-737-1.TIF,,8197.82331986000,662815.50195299997,Abandoned,,,,No,
"1",KING QUARRIES,,A-0710,,,OH-A-0710,,,,37.44502887000,48.58000000000,0.00000000000,,1971-01-29,,,"-",,A-710-1.TIF,,25532.07999980000,5168972.58655999973,Abandoned,,,,No,
"2",WALWOOD COAL CO INC,,B-0785,,,OH-B-785,,,,37.25512301000,37.50000000000,0.00000000000,,1975-10-09,,,"-",,B-785.TIF,,10460.72075120000,1600366.11691000010,Abandoned,,,,No,
"2",WILMOT MINING CO,,B-787,,,OH-B-787,,,,35.37120262000,35.40000000000,0.00000000000,,1982-10-14,,,"-",,B-787.TIF,,8015.91675600000,1560873.70366999996,Abandoned,,,,No,
"2",CAB COAL CORP,,B-0795,,,OH-B-795,,,,22.18132072000,21.30000000000,0.00000000000,,1978-06-19,,,"-",,B-795.TIF,,5298.33727108000,957164.18292299996,Abandoned,,,,No,
"2",OHIO POWER CO,,B-797,,,OH-B-797,,,,276.95189660000,0.00000000000,0.00000000000,,1975-11-17,,,"-",,B-797.TIF,,15848.03284850000,11796486.36940000020,Abandoned,,,,No,
"2",ZANESVILLE COAL CO,,B-0799,,,OH-B-799,,,,30.13329073000,0.00000000000,0.00000000000,,1979-07-09,,,"-",,B-799.TIF,,9226.22040382000,1343471.60792999994,Abandoned,,,,No,
"2",KING QUARRIES,,B-800,,,OH-B-800,,,,101.61127497000,93.30000000000,0.00000000000,,1975-11-25,,,"-",,B-800.TIF,,12302.29322330000,4449214.93317999970,Abandoned,,,,No,
"1",MEADOWBROOK COAL CO,,A-0683,,,OH-A-0683,,,,25.12590419000,40.40000000000,0.00000000000,,1971-01-08,,,"-",,A-683-1.TIF,,37687.79202440000,3352255.71989999991,Abandoned,,,,No,
"1",NELSON S MILLER,,A-0664,,,OH-A-0664,,,,6.60453571000,6.70000000000,0.00000000000,,1971-01-14,,,"-",,A-664.TIF,,3173.46609362000,291008.36270300002,Abandoned,,,,No,
"1",CENTRAL OHIO COAL CO,,A-0610,,,OH-A-0610,,,,308.74952455000,1343.30000000000,0.00000000000,,1970-08-31,,,"-",,A-610-1.TIF,,176080.63662899999,57595168.28369999677,Abandoned,,,,No,
"1",WOLFE COAL CO,,A-0584,,,OH-A-0584,,,,3.23888027000,3.20000000000,0.00000000000,,1970-08-24,,,A-741,,A-584-1.TIF,,4430.36671316000,316464.40842400002,Abandoned,,,,No,
"1",C L KISHLER COAL & CLAY CO,,A-0573,,,OH-A-0573,,,,3.41475604000,3.42000000000,0.00000000000,,1970-04-30,,,"-",,A-573-1.TIF,,4022.97305127000,294380.00341599999,Abandoned,,,,No,
"1",KING QUARRIES,,A-0548,,,OH-A-0548,,,,13.64476129000,13.49000000000,0.00000000000,,1970-03-30,,,"-",,A-548.TIF,,4057.12253397000,711083.39967700001,Abandoned,,,,No,
"2",HOLMES LIMESTONE CO,,B-0805,,,OH-B-805,,,,24.79206533000,24.50000000000,0.00000000000,,1975-06-16,,,"-",,B-805.TIF,,4265.31395414000,1141313.02933000005,Abandoned,,,,No,
"2",CRAVAT COAL CO,,B-0806,,,OH-B-806,,,,18.97550869000,18.90000000000,0.00000000000,,1975-04-25,,,"-",,B-806.TIF,,4217.04638038000,818220.47192299995,Abandoned,,,,No,
"2",HARDY COAL CO,,B-0815,,,OH-B-815,,,,58.57138201000,59.50000000000,0.00000000000,,1976-01-06,,,"-",,B-815.TIF,,14559.53322220000,2698679.04832000006,Abandoned,,,,No,
"2",RECLAMATION & AIR SURVEY INC,,B-0818,,,OH-B-818,,,,69.84071413000,69.70000000000,0.00000000000,,1976-01-05,,,"-",,B-818.TIF,,10399.37291130000,2928973.04640999995,Abandoned,,,,No,
"1",GLAZER COAL CO,,A-0519,,,OH-A-0519,,,,1.00206384000,4.53000000000,0.00000000000,,1969-11-07,,,Used previous location. few reference points,,A-519.TIF,,3408.18596419000,195862.54842199999,Abandoned,,,,No,
"2",RECLAMATION & AIR SURVEY INC,,B-0819,,,OH-B-819,,,,5.97642695000,6.30000000000,0.00000000000,,1974-12-24,,,"-",,B-819.TIF,,7472.19653972000,275768.90940100001,Abandoned,,,,No,
"2",HUTT COAL CO,,B-0823,,,OH-B-823,,,,19.17296497000,20.00000000000,0.00000000000,,1990-08-16,,,"-",,B-823.TIF,,6446.90117507000,824839.32266700000,Abandoned,,,,No,
"2",HOLMES LIMESTONE CO,,B-0826,,,OH-B-826,,,,77.18073218000,75.60000000000,0.00000000000,,1975-12-09,,,"-",,B-826.TIF,,8142.95959979000,3305303.64313000022,Abandoned,,,,No,
"2",HARDY COAL CO,,B-829,,,OH-B-829,,,,91.74839625000,88.20000000000,0.00000000000,,1976-01-05,,,"-",,B-829.TIF,,10663.45294260000,3849684.92144999979,Abandoned,,,,No,
"2",JAMES BROTHERS COAL CO,,B-0830,,,OH-B-830,,,,40.16690597000,41.90000000000,0.00000000000,,1976-03-10,,,"-",,B-830.TIF,,10695.95436950000,1808885.85287000006,Abandoned,,,,No,
"2",OHIO POWER CO,,B-834,,,OH-B-834,,,,56.67277224000,0.00000000000,0.00000000000,,1975-12-08,,,"-",,B-834.TIF,,9098.54597007000,2691406.32513999986,Abandoned,,,,No,
"2",HOLMES LIMESTONE CO,,B-0837,,,OH-B-837,,,,145.37032097000,143.70000000000,0.00000000000,,1975-12-09,,,"-",,B-837.TIF,,14728.66335580000,6324426.06336000003,Abandoned,,,,No,
"2",WILMOT MINING CO,,B-0839,,,OH-B-839,,,,24.07745024000,24.80000000000,0.00000000000,,1975-10-14,,,"-",,B-839.TIF,,5835.36739202000,1073406.45374000003,Abandoned,,,,No,
"2",BOICH MINING CO,,B-0849,,,OH-B-849,,,,83.65481334000,81.30000000000,0.00000000000,,1976-01-07,,,"-",,B-849.TIF,,9850.09208944000,3684077.85973000014,Abandoned,,,,No,
"2",BOICH MINING CO,,B-850,,,OH-B-850,,,,11.65658003000,0.00000000000,0.00000000000,,1977-12-22,,,"-",,B-850.TIF,,4639.81653953000,488653.10938300000,Abandoned,,,,No,
"2",BOICH MINING CO,,B-850,,,OH-B-850,,,,0.11527848000,0.00000000000,0.00000000000,,1977-12-22,,,"-",,B-850.TIF,,285.65782931700,5021.53101279000,Abandoned,,,,No,
"2",ZOAR MINING CO,,B-852,,,OH-B-852,,,,21.55041598000,22.00000000000,0.00000000000,,1976-01-16,,,"-",,B-852.TIF,,5237.40122620000,970130.77312499995,Abandoned,,,,No,
"2",CROOKSVILLE COAL CO,,B-0855,,,OH-B-855,,,,3.94147870000,4.10000000000,0.00000000000,,1975-07-24,,,"-",,B-855.TIF,,1896.99672535000,172632.27575900001,Abandoned,,,,No,
"2",HARDY COAL CO,,B-0857,,,OH-B-857,,,,221.67201316000,189.80000000000,0.00000000000,,1976-01-05,,,"-",,B-857.TIF,,17815.95254010000,9418577.48183000088,Abandoned,,,,No,
"2",SCHLABACH COAL CO,,B-0861,,,OH-B-861,,,,32.10789936000,32.40000000000,0.00000000000,,1975-06-06,,,"-",,B-861.TIF,,6773.87068518000,1434364.33911999990,Abandoned,,,,No,
"2",CRAVAT COAL CO,,B-0862,,,OH-B-862,,,,22.04917047000,19.30000000000,0.00000000000,,1975-10-30,,,"-",,B-862.TIF,,6247.42660039000,962254.75495700003,Abandoned,,,,No,
